x,y
1,3168.576565835736
2,3318.255276813137
3,3417.562634206049
4,3421.0384615384614
5,3416.8794977517987
6,3421.0384615384614
7,3421.0384615384614
8,3421.0384615384614
9,3421.0384615384614
10,3421.0384615384614
11,3421.0384615384614
12,3421.0384615384614
13,3421.0384615384614
14,3421.0384615384614
15,3421.0384615384614
16,3421.0384615384614
17,3421.0384615384614
18,3421.0384615384614
19,3421.0384615384614
20,3421.0384615384614
21,3421.0384615384614
22,3421.0384615384614
23,3421.0384615384614
24,3421.0384615384614
25,3421.0384615384614
26,3421.0384615384614
27,3421.0384615384614
28,3421.0384615384614
29,3421.0384615384614
30,3421.0384615384614
31,3421.0384615384614
32,3421.0384615384614
33,3421.0384615384614
34,3421.0384615384614
35,3421.0384615384614
36,3421.0384615384614
37,3421.0384615384614
38,3421.0384615384614
39,3421.0384615384614
40,3421.0384615384614
41,3421.0384615384614
42,3421.0384615384614
43,3421.0384615384614
44,3421.0384615384614
45,3421.0384615384614
46,3421.0384615384614
47,3421.0384615384614
48,3421.0384615384614
49,3421.0384615384614
50,3421.0384615384614
51,3421.0384615384614
52,3421.0384615384614
53,3421.0384615384614
54,3421.0384615384614
55,3421.0384615384614
56,3421.0384615384614
57,3421.0384615384614
58,3421.0384615384614
59,3421.0384615384614
60,3421.0384615384614
