peak_weight,normalized_peak_coefficient_per_MW,solver_success,solver_status,runtime_s,mip_gap,solver_objective_with_peak,composite_objective_without_peak,system_peak_variable_MW,raw_solver_peak_variable_MW,peak_epigraph_tight,system_signed_peak_net_import_MW,system_positive_peak_MW,cost_CNY,carbon_tCO2,renewable_utilization_ratio,system_net_import_std_MW,audit_passed
0.000000000000,0.000000000000,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.063664800000,0.000005699010,-0.064564503714,-0.064564503714,291.603300440000,2800.000000000000,False,291.603300440000,291.603300440000,-2572214.897258322686,451.977610991501,0.900903195404,324.482809604524,True
0.000000100000,0.000000000036,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.062463599999,0.000005699019,-0.064564403714,-0.064564503714,291.603300440000,2800.000000000000,False,291.603300440000,291.603300440000,-2572214.897258322686,451.977610991501,0.900903195404,324.482809604524,True
0.000000300000,0.000000000107,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.065225200000,0.000005699036,-0.064564203714,-0.064564503714,291.603300440000,2800.000000000000,False,291.603300440000,291.603300440000,-2572214.897258322686,451.977610991501,0.900903195404,324.482809604524,True
0.000001000000,0.000000000357,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.068962700003,0.000005699098,-0.064563503714,-0.064564503714,291.603300440000,2800.000000000000,False,291.603300440000,291.603300440000,-2572214.897258322686,451.977610991501,0.900903195404,324.482809604524,True
0.000003000000,0.000000001071,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.066071900001,0.000005699275,-0.064561503714,-0.064564503714,291.603300440000,2800.000000000000,False,291.603300440000,291.603300440000,-2572214.897258322686,451.977610991501,0.900903195404,324.482809604524,True
0.000010000000,0.000000003571,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.066401099997,0.000005699893,-0.064554503714,-0.064564503714,291.603300440000,2800.000000000000,False,291.603300440000,291.603300440000,-2572214.897258322686,451.977610991501,0.900903195404,324.482809604524,True
0.000030000000,0.000000010714,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.069275199996,0.000005701659,-0.064534503714,-0.064564503714,291.603300440000,2800.000000000000,False,291.603300440000,291.603300440000,-2572214.897258322686,451.977610991501,0.900903195404,324.482809604524,True
0.000100000000,0.000000035714,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.073443599998,0.000005707850,-0.064464503714,-0.064564503714,291.603300440000,2800.000000000000,False,291.603300440000,291.603300440000,-2572214.897258322686,451.977610991501,0.900903195404,324.482809604524,True
0.000300000000,0.000000107143,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.277279399997,0.000000000000,-0.064541163190,-0.064562279789,197.088266513333,197.088266513333,True,197.088266513333,197.088266513333,-2572263.132376294583,452.190791302569,0.900903195404,319.738121705630,True
0.000500000000,0.000000178571,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.262579999995,0.000000000000,-0.064527085456,-0.064562279789,197.088266513333,197.088266513333,True,197.088266513333,197.088266513333,-2572263.132376294583,452.190791302569,0.900903195404,319.738121705630,True
0.000700000000,0.000000250000,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.204958300004,0.000000000000,-0.064513007723,-0.064562279789,197.088266513333,197.088266513333,True,197.088266513333,197.088266513333,-2572263.132376294583,452.190791302569,0.900903195404,319.738121705630,True
0.001000000000,0.000000357143,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.177405099996,0.000000000000,-0.064491891123,-0.064562279789,197.088266513333,197.088266513333,True,197.088266513333,197.088266513333,-2572263.132376294583,452.190791302569,0.900903195404,319.738121705630,True
0.010000000000,0.000003571429,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.165084600005,0.000000000000,-0.063859463495,-0.064563350162,197.088266513333,197.088266513333,True,197.088266513333,197.088266513333,-2572299.435129323974,452.190791302569,0.900903195404,323.497818271309,True
0.050000000000,0.000017857143,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.118560199997,0.000000000000,-0.061217394035,-0.063850895223,147.476066516667,147.476066516667,True,147.476066516667,147.476066516667,-2554019.698613092769,461.317319701771,0.900903195404,316.395208422356,True
0.100000000000,0.000035714286,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.204756399995,0.000000000000,-0.058667189654,-0.063567734289,137.215249780825,137.215249780825,True,137.215249780825,137.215249780825,-2552118.781318210997,474.596117440718,0.900903195404,315.916237810787,True
0.200000000000,0.000071428571,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.110879699998,0.000000000000,-0.053766262280,-0.063567351550,137.215249780825,137.215249780825,True,137.215249780825,137.215249780825,-2552105.800335132517,474.596117440718,0.900903195404,314.405457406126,True
0.500000000000,0.000178571429,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.142287600000,0.000000000000,-0.039064628375,-0.063567351550,137.215249780825,137.215249780825,True,137.215249780825,137.215249780825,-2552105.800335132517,474.596117440718,0.900903195404,314.405457406126,True
