scenario,role,cost_CNY,carbon_tCO2,positive_peak_MW,renewable_utilization_ratio
observed,sequential_baseline,-13390080.273556346,0.0,0.0,0.6862245395452121
observed,joint_candidate,-13390080.273556346,0.0,0.0,0.6862082633901396
joint_stress,sequential_baseline,-6979798.322227609,1985.4352207721909,168.99650122916682,0.8867938457171335
joint_stress,joint_candidate,-7020619.70496063,1949.8750695161352,168.99650122916677,0.8870540507290915
