scenario,method,region,solver_success,solver_status,runtime_s,mip_gap,cost_CNY,carbon_tCO2,peak_net_import_MW,peak_facility_load_MW,renewable_utilization_ratio,terminal_SOC_MWh,task_completion_rate,SLA_violation_rate,mean_latency_ms
renewable_low_empirical,Q2_candidate_plus_integrated_storage_MILP,RegionA,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.4197336000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,560.2500000000,0.6456754035,157.5000000000,1.0000000000,0.0000000000,9.0329740013
renewable_low_empirical,Q2_candidate_plus_integrated_storage_MILP,RegionB,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.4197336000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,546.7882500000,0.6459688947,144.0000000000,1.0000000000,0.0000000000,9.0329740013
renewable_low_empirical,Q2_candidate_plus_integrated_storage_MILP,RegionC,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.4197336000,0.0000000000,10689.8830447793,12.7275955513,12.9214995400,557.0829995400,0.7074826706,135.0000000000,1.0000000000,0.0000000000,9.0329740013
renewable_low_empirical,Q2_candidate_plus_integrated_storage_MILP,RegionD,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.4197336000,0.0000000000,-4282477.2000000002,0.0000000000,-180.0000000000,633.8274137600,0.7902063817,405.0000000000,1.0000000000,0.0000000000,9.0329740013
renewable_low_empirical,Q2_candidate_plus_integrated_storage_MILP,RegionE,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.4197336000,0.0000000000,-3783318.1543727061,0.0000000000,0.0000000000,694.5000000000,0.9755942167,370.0000000000,1.0000000000,0.0000000000,9.0329740013
renewable_low_empirical,Q2_candidate_plus_integrated_storage_MILP,RegionF,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.4197336000,0.0000000000,-4361511.6650174763,0.0000000000,0.0000000000,643.0391000000,0.9351974228,382.5000000000,1.0000000000,0.0000000000,9.0329740013
joint_stress,Q2_candidate_plus_integrated_storage_MILP,RegionA,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.4104108000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,560.2500000000,0.6456754035,157.5000000000,1.0000000000,0.0000000000,9.0329740013
joint_stress,Q2_candidate_plus_integrated_storage_MILP,RegionB,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.4104108000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,546.7882500000,0.6459688947,144.0000000000,1.0000000000,0.0000000000,9.0329740013
joint_stress,Q2_candidate_plus_integrated_storage_MILP,RegionC,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.4104108000,0.0000000000,10689.8830447793,15.2731146615,12.9214995400,557.0829995400,0.7074826706,135.0000000000,1.0000000000,0.0000000000,9.0329740013
joint_stress,Q2_candidate_plus_integrated_storage_MILP,RegionD,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.4104108000,0.0000000000,-4282477.2000000002,0.0000000000,-180.0000000000,633.8274137600,0.7902063817,405.0000000000,1.0000000000,0.0000000000,9.0329740013
joint_stress,Q2_candidate_plus_integrated_storage_MILP,RegionE,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.4104108000,0.0000000000,-3783318.1543727061,0.0000000000,0.0000000000,694.5000000000,0.9755942167,370.0000000000,1.0000000000,0.0000000000,9.0329740013
joint_stress,Q2_candidate_plus_integrated_storage_MILP,RegionF,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.4104108000,0.0000000000,-4361511.6650174763,0.0000000000,0.0000000000,643.0391000000,0.9351974228,382.5000000000,1.0000000000,0.0000000000,9.0329740013
