x,y
0,595.0
1,595.0
2,799.0
3,945.0
4,1050.0
5,1081.0
6,1105.0
7,1105.0
8,1105.0
9,1190.0
10,1207.0
11,1219.0
12,1219.0
13,1230.0
14,1269.0
15,1295.0
16,1394.0
17,1400.0
18,1431.0
19,1495.0
20,1505.0
21,1505.0
22,1505.0
23,1505.0
24,1505.0
25,1517.0
26,1517.0
27,1517.0
28,1590.0
29,1590.0
30,1590.0
31,1593.0
32,1598.0
33,1598.0
34,1610.0
35,1633.0
36,1640.0
37,1640.0
38,1715.0
39,1739.0
40,1755.0
41,1755.0
42,1763.0
43,1763.0
44,1763.0
45,1763.0
46,1770.0
47,1770.0
48,1771.0
49,1802.0
50,1802.0
51,1880.0
52,1880.0
53,1880.0
54,1886.0
55,1886.0
56,1917.0
57,1917.0
58,1950.0
59,1961.0
60,1961.0
61,1961.0
62,2006.0
63,2006.0
64,2006.0
65,2009.0
66,2021.0
67,2030.0
68,2030.0
69,2030.0
70,2030.0
71,2030.0
72,2030.0
73,2047.0
74,2047.0
75,2079.0
76,2120.0
77,2120.0
78,2162.0
79,2183.0
80,2210.0
81,2210.0
82,2210.0
83,2241.0
84,2241.0
85,2279.0
86,2279.0
87,2310.0
88,2310.0
89,2360.0
90,2378.0
91,2403.0
92,2403.0
93,2405.0
94,2414.0
95,2414.0
96,2414.0
97,2414.0
98,2414.0
99,2414.0
100,2438.0
101,2438.0
102,2438.0
103,2450.0
104,2490.0
105,2537.0
106,2537.0
107,2537.0
108,2565.0
109,2597.0
110,2597.0
111,2600.0
112,2600.0
113,2600.0
114,2600.0
115,2618.0
116,2618.0
117,2618.0
118,2670.0
119,2714.0
120,2714.0
121,2714.0
122,2714.0
123,2726.0
124,2726.0
125,2726.0
126,2726.0
127,2795.0
128,2795.0
129,2822.0
130,2840.0
131,2870.0
132,2870.0
133,2891.0
134,2891.0
135,2891.0
136,2990.0
137,2990.0
138,3026.0
139,3053.0
140,3053.0
141,3053.0
142,3053.0
143,3053.0
144,3071.0
145,3071.0
146,3071.0
147,3074.0
148,3080.0
149,3080.0
150,3080.0
151,3080.0
152,3185.0
153,3185.0
154,3230.0
155,3266.0
156,3266.0
157,3266.0
158,3311.0
159,3311.0
160,3320.0
161,3320.0
162,3422.0
163,3422.0
164,3422.0
165,3422.0
166,3422.0
167,3479.0
168,3479.0
169,3479.0
170,3479.0
171,3479.0
172,3479.0
173,3515.0
174,3542.0
175,3542.0
176,3542.0
177,3542.0
178,3560.0
179,3569.0
180,3569.0
181,3569.0
182,3770.0
183,3770.0
184,3770.0
185,3770.0
186,3773.0
187,3773.0
188,3773.0
189,3800.0
190,3800.0
191,3818.0
192,3818.0
193,3827.0
194,3842.0
195,4067.0
196,4085.0
197,4094.0
198,4118.0
199,4118.0
200,4181.0
201,4181.0
202,4181.0
203,4361.0
204,4370.0
205,4466.0
206,4466.0
207,4466.0
208,4466.0
209,4466.0
210,4466.0
211,4520.0
212,4550.0
213,4814.0
214,4814.0
215,4859.0
216,4970.0
217,4970.0
218,4970.0
219,4970.0
220,4970.0
221,5162.0
222,5162.0
223,5162.0
224,5390.0
225,5510.0
226,5510.0
227,5510.0
228,5810.0
229,5810.0
230,6554.0
231,6554.0
232,6554.0
233,6554.0
234,6554.0
235,6554.0
236,6650.0
237,7910.0
238,7910.0
239,7910.0
