scenario,candidate_method,baseline_method,candidate_cost_CNY,baseline_cost_CNY,cost_delta_CNY,cost_delta_ratio,candidate_carbon_tCO2,baseline_carbon_tCO2,carbon_delta_tCO2,carbon_delta_ratio,candidate_peak_net_import_MW,baseline_peak_net_import_MW,peak_delta_MW,candidate_system_peak_variable_MW,candidate_renewable_utilization_ratio,baseline_renewable_utilization_ratio,renewable_utilization_delta,candidate_system_net_import_std_MW,baseline_system_net_import_std_MW,candidate_task_completion_rate,baseline_task_completion_rate,candidate_SLA_violation_rate,baseline_SLA_violation_rate,candidate_mean_latency_ms,baseline_mean_latency_ms
observed,Q2_candidate_plus_integrated_storage_MILP,Q2_FIFO_plus_no_storage_renewable_first,-13525112.6312223785,-12772001.9793742709,-753110.6518481076,-0.0589657481,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-231.3701108533,-294.5922995800,63.2221887267,0.0000000000,0.6805706934,0.6774569242,0.0031137691,65.1814951502,100.5511502449,1.0000000000,1.0000000000,0.0000000000,0.0000000000,9.0329740013,5.0000000000
peak_price_empirical,Q2_candidate_plus_integrated_storage_MILP,Q2_FIFO_plus_no_storage_renewable_first,-13525112.6312223785,-12772001.9793742709,-753110.6518481076,-0.0589657481,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-231.3701108533,-294.5922995800,63.2221887267,0.0000000000,0.6805706934,0.6774569242,0.0031137691,65.1814951502,100.5511502449,1.0000000000,1.0000000000,0.0000000000,0.0000000000,9.0329740013,5.0000000000
high_carbon_empirical,Q2_candidate_plus_integrated_storage_MILP,Q2_FIFO_plus_no_storage_renewable_first,-13525112.6312223785,-12772001.9793742709,-753110.6518481076,-0.0589657481,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-231.3701108533,-294.5922995800,63.2221887267,0.0000000000,0.6805706934,0.6774569242,0.0031137691,65.1814951502,100.5511502449,1.0000000000,1.0000000000,0.0000000000,0.0000000000,9.0329740013,5.0000000000
renewable_low_empirical,Q2_candidate_plus_integrated_storage_MILP,Q2_FIFO_plus_no_storage_renewable_first,-12416617.1363454033,-10733122.7592287511,-1683494.3771166522,-0.1568503794,12.7275955513,201.8361019104,-189.1085063591,-0.9369409366,-167.0785004600,39.5757991333,-206.6542995933,0.0000000000,0.7833541650,0.7717736703,0.0115804947,148.5603810825,210.7796862429,1.0000000000,1.0000000000,0.0000000000,0.0000000000,9.0329740013,5.0000000000
joint_stress,Q2_candidate_plus_integrated_storage_MILP,Q2_FIFO_plus_no_storage_renewable_first,-12416617.1363454033,-10733122.7592287511,-1683494.3771166522,-0.1568503794,15.2731146615,240.8805535576,-225.6074388961,-0.9365946548,-167.0785004600,39.5757991333,-206.6542995933,0.0000000000,0.7833541650,0.7717736703,0.0115804947,148.5603810825,210.7796862429,1.0000000000,1.0000000000,0.0000000000,0.0000000000,9.0329740013,5.0000000000
