method_candidate,evaluation,scenario,window_start_h,horizon_h,region,status_candidate,solver_success_candidate,solver_mode_candidate,runtime_s_candidate,mip_gap_candidate,cost_CNY_candidate,carbon_tCO2_candidate,peak_net_import_MW_candidate,load_std_MW_candidate,renewable_utilization_ratio_candidate,curtailment_MWh_candidate,terminal_SOC_MWh_candidate,initial_SOC_MWh_candidate,grid_import_peak_margin_MW_candidate,max_charge_MW_candidate,max_discharge_MW_candidate,method_baseline,status_baseline,solver_success_baseline,solver_mode_baseline,runtime_s_baseline,mip_gap_baseline,cost_CNY_baseline,carbon_tCO2_baseline,peak_net_import_MW_baseline,load_std_MW_baseline,renewable_utilization_ratio_baseline,curtailment_MWh_baseline,terminal_SOC_MWh_baseline,initial_SOC_MWh_baseline,grid_import_peak_margin_MW_baseline,max_charge_MW_baseline,max_discharge_MW_baseline,cost_saving_CNY,carbon_reduction_tCO2,peak_reduction_MW,std_reduction_MW,renewable_utilization_gain_pp
carbon_aware_MILP,fixed,observed,0,168,RegionE,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.1052941000,0.0000000000,-10834501.6040803697,0.0000000000,-156.8500004166,5.8453869370,0.8314829139,22648.6963723095,647.8413978495,370.0000000000,370.0000000000,240.0000000000,143.1600000000,no_storage_renewable_first,deterministic baseline,True,baseline,0.0000000000,,-9939873.6746822298,0.0000000000,-76.8400000000,41.0291786215,0.7969059988,27295.8337545829,370.0000000000,370.0000000000,370.0000000000,0.0000000000,0.0000000000,894627.9293981399,0.0000000000,80.0100004166,35.1837916845,3.4576915047
carbon_aware_MILP,fixed,observed,0,168,RegionF,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.1280540000,0.0000000000,-11405763.3148490023,0.0000000000,-141.2507000000,6.2782184883,0.8398069148,21529.9506534986,582.3303234909,382.5000000000,340.0000000000,250.0000000000,164.3658004233,no_storage_renewable_first,deterministic baseline,True,baseline,0.0000000000,,-10284624.8235998116,0.0000000000,-55.6341995767,45.8042330285,0.7997697388,26910.9471078835,382.5000000000,382.5000000000,340.0000000000,0.0000000000,0.0000000000,1121138.4912491906,0.0000000000,85.6165004233,39.5260145402,4.0037176000
carbon_aware_MILP,rolling_block,observed,0,168,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0944337000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5711071477,57643.1993526882,350.0000000000,157.5000000000,550.0000000000,100.0000000000,0.0000000000,no_storage_renewable_first,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5695670491,57850.1886000000,157.5000000000,157.5000000000,550.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1540098566
carbon_aware_MILP,rolling_block,observed,168,168,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0313736000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5680272254,58057.1409062994,350.0000000000,350.0000000000,550.0000000000,0.0000000000,0.0000000000,no_storage_renewable_first,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5680272254,58057.1409062994,157.5000000000,157.5000000000,550.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,336,168,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0275663000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5695595457,57851.1970531497,350.0000000000,350.0000000000,550.0000000000,0.0000000000,0.0000000000,no_storage_renewable_first,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5695595457,57851.1970531497,157.5000000000,157.5000000000,550.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,504,168,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0260489000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5692059341,57898.7224531497,350.0000000000,350.0000000000,550.0000000000,0.0000000000,0.0000000000,no_storage_renewable_first,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5692059341,57898.7224531497,157.5000000000,157.5000000000,550.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,672,168,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0272769000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5694796507,57861.9349450505,350.0000000000,350.0000000000,550.0000000000,0.0000000000,0.0000000000,no_storage_renewable_first,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5694796507,57861.9349450505,157.5000000000,157.5000000000,550.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,840,168,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0284432000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5679236552,58071.0607423508,350.0000000000,350.0000000000,550.0000000000,0.0000000000,0.0000000000,no_storage_renewable_first,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5679236552,58071.0607423508,157.5000000000,157.5000000000,550.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,1008,168,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0277061000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5680138260,58058.9417914509,350.0000000000,350.0000000000,550.0000000000,0.0000000000,0.0000000000,no_storage_renewable_first,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5680138260,58058.9417914509,157.5000000000,157.5000000000,550.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,1176,168,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0229599000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5694315469,57868.4001026997,350.0000000000,350.0000000000,550.0000000000,0.0000000000,0.0000000000,no_storage_renewable_first,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5694315469,57868.4001026997,157.5000000000,157.5000000000,550.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
