method,evaluation,scenario,window_start_h,horizon_h,region,status,solver_success,solver_mode,runtime_s,mip_gap,cost_CNY,carbon_tCO2,peak_net_import_MW,load_std_MW,renewable_utilization_ratio,curtailment_MWh,terminal_SOC_MWh,initial_SOC_MWh,grid_import_peak_margin_MW,max_charge_MW,max_discharge_MW
no_storage_renewable_first,rolling_block,observed,1344,168,RegionA,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5667576831,58227.7673955004,157.5000000000,157.5000000000,550.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,1512,168,RegionA,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5670357791,58190.3912955004,157.5000000000,157.5000000000,550.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,1680,168,RegionA,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5706358995,57706.5351049495,157.5000000000,157.5000000000,550.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,1848,168,RegionA,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5704063192,57737.3906973003,157.5000000000,157.5000000000,550.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,2016,168,RegionA,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5699837812,57794.1798004500,157.5000000000,157.5000000000,550.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,2184,168,RegionA,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5721714442,57500.1579000000,157.5000000000,157.5000000000,550.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,2352,55,RegionA,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5896771484,17860.5577040496,157.5000000000,157.5000000000,550.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,0,168,RegionB,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5645704419,58521.7326040496,144.0000000000,144.0000000000,520.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,168,168,RegionB,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5634387020,58673.8384491001,144.0000000000,144.0000000000,520.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,336,168,RegionB,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5635331820,58661.1403432507,144.0000000000,144.0000000000,520.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,504,168,RegionB,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5607113706,59040.3917910009,144.0000000000,144.0000000000,520.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,672,168,RegionB,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5614902422,58935.7114522498,144.0000000000,144.0000000000,520.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,840,168,RegionB,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5635356630,58660.8068973003,144.0000000000,144.0000000000,520.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,1008,168,RegionB,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5626322879,58782.2205000000,144.0000000000,144.0000000000,520.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,1176,168,RegionB,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5643227713,58555.0195432507,144.0000000000,144.0000000000,520.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,1344,168,RegionB,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5634773337,58668.6463531497,144.0000000000,144.0000000000,520.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,1512,168,RegionB,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5651443426,58444.6003491001,144.0000000000,144.0000000000,520.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,1680,168,RegionB,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5620383582,58862.0446522498,144.0000000000,144.0000000000,520.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,1848,168,RegionB,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5601066429,59121.6671950505,144.0000000000,144.0000000000,520.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,2016,168,RegionB,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5629308248,58742.0971441506,144.0000000000,144.0000000000,520.0000000000,0.0000000000,0.0000000000
no_storage_renewable_first,rolling_block,observed,2184,168,RegionB,deterministic baseline,True,baseline,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5641178403,58582.5622576492,144.0000000000,144.0000000000,520.0000000000,0.0000000000,0.0000000000
