method,evaluation,scenario,window_start_h,horizon_h,region,status,solver_success,solver_mode,runtime_s,mip_gap,cost_CNY,carbon_tCO2,peak_net_import_MW,load_std_MW,renewable_utilization_ratio,curtailment_MWh,terminal_SOC_MWh,initial_SOC_MWh,grid_import_peak_margin_MW,max_charge_MW,max_discharge_MW
carbon_aware_MILP,rolling_block,observed,672,168,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0272769000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5694796507,57861.9349450505,350.0000000000,350.0000000000,550.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,840,168,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0284432000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5679236552,58071.0607423508,350.0000000000,350.0000000000,550.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,1008,168,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0277061000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5680138260,58058.9417914509,350.0000000000,350.0000000000,550.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,1176,168,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0229599000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5694315469,57868.4001026997,350.0000000000,350.0000000000,550.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,1344,168,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0267552000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5667576831,58227.7673955004,350.0000000000,350.0000000000,550.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,1512,168,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0238352000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5670357791,58190.3912955004,350.0000000000,350.0000000000,550.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,1680,168,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0272593000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5706358995,57706.5351049495,350.0000000000,350.0000000000,550.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,1848,168,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0254560000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5704063192,57737.3906973003,350.0000000000,350.0000000000,550.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,2016,168,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0310230000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5699837812,57794.1798004500,350.0000000000,350.0000000000,550.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,2184,168,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0280443000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5721714442,57500.1579000000,350.0000000000,350.0000000000,550.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,2352,55,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0110655000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5906723685,17817.2377040496,350.0000000000,350.0000000000,550.0000000000,100.0000000000,100.0000000000
carbon_aware_MILP,rolling_block,observed,0,168,RegionB,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0315697000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5659785321,58332.4852922217,320.0000000000,144.0000000000,520.0000000000,90.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,168,168,RegionB,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0236650000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5634387020,58673.8384491001,320.0000000000,320.0000000000,520.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,336,168,RegionB,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0245011000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5635331820,58661.1403432507,320.0000000000,320.0000000000,520.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,504,168,RegionB,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0271457000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5607113706,59040.3917910009,320.0000000000,320.0000000000,520.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,672,168,RegionB,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0252846000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5614902422,58935.7114522498,320.0000000000,320.0000000000,520.0000000000,0.0000000000,0.0000000000
carbon_aware_MILP,rolling_block,observed,840,168,RegionB,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,binary_MILP,0.0325566000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5635356630,58660.8068973003,320.0000000000,320.0000000000,520.0000000000,0.0000000000,0.0000000000
