x,y
5.0,500.97753856957803
5.5,489.215118765353
6.0,477.4925373028936
6.5,465.8133649940726
7.0,454.1811594279138
7.5,442.5994638869165
8.0,431.07180626773675
8.5,419.6016980065564
9.0,408.1926330094652
9.5,396.8480865881834
10.0,385.57151440144787
10.5,374.3663514023854
11.0,363.2360107921924
11.5,352.1838829804407
12.0,341.21333455232616
12.5,330.327707243174
13.0,319.5303169205141
13.5,308.82445257403543
14.0,298.2133753137279
14.5,287.70031737651675
15.0,277.2884811416922
15.5,266.9810381554328
16.0,256.78112816472276
16.5,246.69185816095393
17.0,236.71630143350643
17.5,226.85749663359496
18.0,217.1184468486657
18.5,207.50211868762773
19.0,198.01144137719405
19.5,188.64930586961202
20.0,179.41856396204997
20.5,170.32202742791327
21.0,161.36246716035038
21.5,152.54261232821204
22.0,143.86514954471988
22.5,135.33272204909827
23.0,126.94792890141792
23.5,118.71332419089686
24.0,110.63141625790024
24.5,102.70466692987577
25.0,94.9354907714569
25.5,87.32625434896306
26.0,79.879275509521
26.5,72.5968226750258
27.0,65.48111415115739
27.5,58.53431745166358
28.0,51.75854863811412
28.5,45.15587167532817
29.0,38.728297802669886
29.5,32.47778492140651
30.0,26.406236998311442
30.5,20.51550348569856
31.0,14.807378758060736
31.5,9.28360156548581
32.0,3.945854504016438
32.5,1.204236496884164
33.0,6.165102669607336
33.5,10.935232886259882
34.0,15.513174118968209
34.5,19.897531882485623
35.0,24.08697065896513
35.5,28.080214304771175
36.0,31.876046439206107
36.5,35.47331081503057
37.0,38.87091167066819
37.5,42.067814063985224
38.0,45.06304418754337
38.5,47.85568966523158
39.0,50.44489983018434
39.5,52.82988598390341
40.0,55.0099216365021
40.5,56.984342728002616
41.0,58.752547830613594
41.5,60.31399833193154
42.0,61.668218599008014
42.5,62.814796123231076
43.0,63.7533816459794
43.5,64.48368926501064
44.0,65.00549652154939
44.5,65.31864446805037
45.0,65.42303771661568
45.5,65.31864446805037
46.0,65.00549652154939
46.5,64.48368926501064
47.0,63.7533816459794
47.5,62.814796123231076
48.0,61.668218599008014
48.5,60.31399833193166
49.0,58.752547830613594
49.5,56.984342728002616
50.0,55.0099216365021
50.5,52.82988598390341
51.0,50.444899830184454
51.5,47.85568966523158
52.0,45.06304418754337
52.5,42.067814063985224
53.0,38.87091167066819
53.5,35.473310815030686
54.0,31.87604643920622
54.5,28.08021430477129
55.0,24.08697065896513
55.5,19.897531882485623
56.0,15.513174118968209
56.5,10.935232886259769
57.0,6.165102669607336
57.5,1.2042364968842776
58.0,3.945854504016552
58.5,9.283601565485696
59.0,14.807378758060736
59.5,20.51550348569856
60.0,26.40623699831133
60.5,32.47778492140651
61.0,38.728297802669886
61.5,45.15587167532817
62.0,51.75854863811412
62.5,58.534317451663696
63.0,65.48111415115739
63.5,72.59682267502592
64.0,79.879275509521
64.5,87.32625434896306
65.0,94.9354907714569
65.5,102.70466692987577
66.0,110.63141625790024
66.5,118.71332419089674
67.0,126.94792890141792
67.5,135.33272204909827
68.0,143.86514954472
68.5,152.54261232821204
69.0,161.36246716035038
69.5,170.32202742791327
70.0,179.41856396204986
70.5,188.64930586961202
71.0,198.011441377194
71.5,207.50211868762773
72.0,217.11844684866566
72.5,226.85749663359502
73.0,236.71630143350643
73.5,246.69185816095376
74.0,256.78112816472276
74.5,266.9810381554327
75.0,277.2884811416922
75.5,287.70031737651675
76.0,298.2133753137279
76.5,308.8244525740354
77.0,319.5303169205142
77.5,330.32770724317396
78.0,341.213334552326
78.5,352.1838829804407
79.0,363.23601079219225
79.5,374.3663514023855
80.0,385.57151440144776
