block_id,operation_start_hour,operation_end_hour,arrival_task_count,baseline_cost_CNY,candidate_cost_CNY,cost_change_pct,baseline_carbon_tCO2,candidate_carbon_tCO2,carbon_change_pct,baseline_mean_latency_ms,candidate_mean_latency_ms,baseline_mean_wait_hours,candidate_mean_wait_hours,candidate_completion_rate,candidate_SLA_violation_rate
h0000_0400,0,400,8330,569266596.8436327,563172567.7338398,-1.0705053034170686,484618.5211499555,474813.80709993455,-2.0231818682363345,5.087274909963986,9.385834333733493,0.0,0.7333733493397359,1.0,0.0
h0400_0800,400,800,8393,575437216.5866897,569176238.5063406,-1.0880384340601457,479918.90623710374,470282.2174490368,-2.0079827368388647,5.058739425711903,9.177290599308948,0.0,0.7188132967949482,1.0,0.0
h0800_1200,800,1200,8165,569568390.3029885,563950231.8486714,-0.9863887375014646,478214.0700350225,469274.9828896374,-1.8692647718898003,5.051684017146356,9.32382118799755,0.0,0.7249234537660747,1.0,0.0
h1200_1600,1200,1600,8326,550195244.9754984,544429351.6431024,-1.047972221688831,484516.9699771224,474904.386543918,-1.9839518590356597,5.060293057890944,9.232524621667068,0.0,0.7405717030987269,1.0,0.0
h1600_2000,1600,2000,8398,538029378.585423,533130866.6559865,-0.9104543588893899,479107.8445712402,469951.3647059244,-1.9111521485334904,5.055846630150036,9.307573231721838,0.0,0.6773041200285782,1.0,0.0
h2000_2400,2000,2400,8388,551062140.3263688,545029634.801782,-1.0947051308975775,479089.2513832509,469757.56013595965,-1.9477980815366558,5.0965665236051505,9.124701955174059,0.0,0.6922985216976634,1.0,0.0
