window_id,method,arrival_start_hour,arrival_end_hour,closeout_hour,task_count,scheduled_count,task_completion_rate,SLA_violation_rate,mean_latency_ms,cost_CNY,carbon_tCO2,renewable_utilization_ratio,peak_facility_load_MW,audit_passed,violations,seed,repair_triggered,repair_status,unresolved_after_repair
w0000_0024,rolling_horizon_greedy_then_CP_SAT_repair,0,24,30,506,506,1.0,0.0,5.0,40229835.93322446,37683.42417074011,1.0,643.50222709,True,[],20260801,False,NOT_RUN,0
w1176_1224,rolling_horizon_greedy_then_CP_SAT_repair,1176,1224,1230,983,983,1.0,0.0,5.0,73819278.9876104,67036.46561106778,1.0,646.41792,True,[],20260801,False,NOT_RUN,0
w2328_2400,rolling_horizon_greedy_then_CP_SAT_repair,2328,2400,2406,1577,1577,1.0,0.0,5.0,106770066.05539028,95220.72141546114,0.9998504624594113,681.5006270900001,True,[],20260801,False,NOT_RUN,0
