residual_shrinkage,mae,rmse,wape
1.0000000000,111.2639075130,236.3151661157,0.9411484478
0.7500000000,112.9353998452,242.9586136509,0.9552871065
0.5000000000,116.5440735775,252.0239856962,0.9858118091
0.2500000000,121.4869306198,263.3086000785,1.0276219732
