period,method,region,task_type,mae_gpu_h,rmse_gpu_h,wape,mase_24h,actual_total_gpu_h,coverage_95,mean_interval_width_gpu_h
validation,shared_hgbr_reconciled,RegionC,BatchInference,44.7367595549,51.3571577829,1.6988642869,0.7372657253,632.0000000000,1.0000000000,212.1218770983
validation,shared_hgbr_reconciled,RegionC,AITraining,138.8965170089,179.2583135516,2.2793794103,0.9973073407,1462.4666666667,1.0000000000,616.5177195081
validation,shared_hgbr_reconciled,RegionD,RealTimeInference,4.0532415433,6.2281020691,2.6482158904,0.8215863236,36.7333333333,0.9583333333,12.2014770451
validation,shared_hgbr_reconciled,RegionD,BatchInference,61.9734478332,80.2038602729,0.8070699967,0.8533922836,1842.9166666667,0.9583333333,254.2764329023
validation,shared_hgbr_reconciled,RegionD,AITraining,364.4522512083,433.5988870831,0.8212777132,0.6861153934,10650.3000000000,1.0000000000,1900.3930147254
validation,shared_hgbr_reconciled,RegionE,RealTimeInference,5.4642724627,7.2334200014,1.9442926480,0.8337743838,67.4500000000,0.9583333333,20.1206807739
validation,shared_hgbr_reconciled,RegionE,BatchInference,46.1505940247,58.7292822491,1.0250151214,0.8725325493,1080.5833333333,1.0000000000,214.6000674778
validation,shared_hgbr_reconciled,RegionE,AITraining,421.6550666233,514.0891331955,0.9308943638,1.0190941925,10870.9666666667,0.9583333333,1657.2060346218
validation,shared_hgbr_reconciled,RegionF,RealTimeInference,3.6203400937,4.8914439436,1.7762486320,0.6917998734,48.9166666667,0.9166666667,12.0748856497
validation,shared_hgbr_reconciled,RegionF,BatchInference,44.7063975207,55.9967120599,1.2249260299,0.8796661086,875.9333333333,0.9583333333,172.9977082953
validation,shared_hgbr_reconciled,RegionF,AITraining,366.3643657202,464.3905419177,0.7539611141,0.8375013083,11662.0666666667,0.9583333333,1447.0776763917
blind_test,seasonal_baseline,RegionA,RealTimeInference,35.8534722222,42.7909957483,1.1766220743,1.2173753407,731.3166666667,1.0000000000,924.7395534290
