paper_id,problem,page,width_px,height_px,ink_density,color_pixel_fraction,left_margin_ratio,right_margin_ratio,top_margin_ratio,bottom_margin_ratio
cumcm-2012-a-a441,A,1,910,1287,0.06994818652849741,0.0,0.11978021978021978,0.12087912087912088,0.07692307692307693,0.17249417249417248
cumcm-2012-a-a441,A,2,910,1287,0.06472982975573649,0.0,0.11978021978021978,0.12087912087912088,0.07692307692307693,0.25252525252525254
cumcm-2012-a-a441,A,3,910,1287,0.017831046328455655,0.0,0.11868131868131868,0.12087912087912088,0.07692307692307693,0.48717948717948717
cumcm-2012-a-a441,A,4,910,1287,0.06394124010704322,0.030019548672398415,0.11868131868131868,0.11868131868131868,0.07692307692307693,0.02097902097902098
cumcm-2012-a-a441,A,5,910,1287,0.035360321888819296,0.031475260490804534,0.11978021978021978,0.12197802197802197,0.08624708624708624,0.0
cumcm-2012-a-a441,A,6,910,1287,0.05185427698381066,0.008631782725046973,0.11978021978021978,0.12087912087912088,0.07847707847707848,0.055944055944055944
cumcm-2012-a-a441,A,7,910,1287,0.06482662415304902,0.0,0.11868131868131868,0.12087912087912088,0.07847707847707848,0.0
cumcm-2012-a-a441,A,8,910,1287,0.047038281235172424,0.0,0.11978021978021978,0.12087912087912088,0.07847707847707848,0.008547008547008548
cumcm-2012-a-a441,A,9,910,1287,0.07127199225644822,0.0,0.11868131868131868,0.12087912087912088,0.09945609945609946,0.014763014763014764
cumcm-2012-a-a441,A,10,910,1287,0.06229193949401203,0.0,0.11868131868131868,0.12087912087912088,0.07847707847707848,0.012432012432012432
cumcm-2012-a-a441,A,11,910,1287,0.06273320806999563,0.0,0.11978021978021978,0.12087912087912088,0.07847707847707848,0.0
cumcm-2012-a-a441,A,12,910,1287,0.07288333428229801,0.0,0.11868131868131868,0.12087912087912088,0.07847707847707848,0.0
cumcm-2012-a-a441,A,13,910,1287,0.08610810605629259,0.0,0.11868131868131868,0.12087912087912088,0.07847707847707848,0.03341103341103341
cumcm-2012-a-a441,A,14,910,1287,0.04009755356905616,0.0,0.11868131868131868,0.0956043956043956,0.08857808857808858,0.07614607614607614
cumcm-2012-a-a441,A,15,910,1287,0.021643037446146256,0.0,0.14175824175824175,0.14285714285714285,0.07847707847707848,0.20590520590520592
cumcm-2012-a-a441,A,16,910,1287,0.05113496175672341,0.0,0.11868131868131868,0.12087912087912088,0.11655011655011654,0.0
cumcm-2012-a-a441,A,17,910,1287,0.07430962819563856,0.0,0.11868131868131868,0.12087912087912088,0.07847707847707848,0.0
cumcm-2012-a-a441,A,18,910,1287,0.07810928277249521,0.0,0.11868131868131868,0.1076923076923077,0.08857808857808858,0.001554001554001554
cumcm-2012-a-a441,A,19,910,1287,0.0700819905483118,0.0,0.11978021978021978,0.12087912087912088,0.07847707847707848,0.0
cumcm-2012-a-a441,A,20,910,1287,0.06542257397179677,0.0,0.11868131868131868,0.12087912087912088,0.08857808857808858,0.108003108003108
cumcm-2012-a-a441,A,21,910,1287,0.026738977775247204,0.0,0.11978021978021978,0.12087912087912088,0.08857808857808858,0.515928515928516
cumcm-2012-a-a441,A,22,910,1287,0.006989124864772533,0.0,0.13076923076923078,0.14395604395604394,0.07692307692307693,0.7171717171717171
cumcm-2012-a-a441,A,23,910,1287,0.0172294027216307,0.0,0.11868131868131868,0.0,0.07692307692307693,0.0
cumcm-2012-a-a441,A,24,910,1287,0.010472774203344151,0.0,0.11868131868131868,0.36923076923076925,0.08236208236208237,0.0
cumcm-2012-a-a441,A,25,910,1287,0.030729374252690313,0.0,0.11978021978021978,0.0,0.08158508158508158,0.0
cumcm-2012-a-a441,A,26,910,1287,0.04243959839814762,0.0,0.11978021978021978,0.023076923076923078,0.08080808080808081,0.0
cumcm-2012-a-a441,A,27,910,1287,0.0,0.0,0.0,0.0,0.0,0.0
cumcm-2012-b-b077,B,1,910,1287,0.017470439750232495,0.0,0.10989010989010989,0.11428571428571428,0.09401709401709402,0.008547008547008548
cumcm-2012-b-b077,B,2,910,1287,0.004483858110801116,0.0,0.1901098901098901,0.3087912087912088,0.22766122766122765,0.4428904428904429
cumcm-2012-b-b077,B,3,910,1287,0.05508739964698514,0.0,0.11978021978021978,0.12087912087912088,0.08780108780108781,0.32556332556332557
cumcm-2012-b-b077,B,4,910,1287,0.06119019150107233,0.0,0.11978021978021978,0.12087912087912088,0.08780108780108781,0.09090909090909091
cumcm-2012-b-b077,B,5,910,1287,0.08617548254853954,0.0,0.11978021978021978,0.12087912087912088,0.08780108780108781,0.05827505827505827
cumcm-2012-b-b077,B,6,910,1287,0.04888686443090588,0.0018362466548995046,0.11978021978021978,0.12087912087912088,0.08469308469308469,0.0
cumcm-2012-b-b077,B,7,910,1287,0.055400557991231565,0.0,0.11978021978021978,0.12087912087912088,0.08624708624708624,0.001554001554001554
cumcm-2012-b-b077,B,8,910,1287,0.07450701284898176,0.0,0.11868131868131868,0.12087912087912088,0.08624708624708624,0.003108003108003108
cumcm-2012-b-b077,B,9,910,1287,0.038008882309400444,0.0,0.11978021978021978,0.12087912087912088,0.08624708624708624,0.013986013986013986
cumcm-2012-b-b077,B,10,910,1287,0.05434720719694813,0.0,0.11978021978021978,0.12087912087912088,0.08780108780108781,0.01320901320901321
cumcm-2012-b-b077,B,11,910,1287,0.07806468143255708,0.0,0.11978021978021978,0.12087912087912088,0.08624708624708624,0.01554001554001554
cumcm-2012-b-b077,B,12,910,1287,0.10242745165024958,0.0012953367875647669,0.11978021978021978,0.12087912087912088,0.08624708624708624,0.006216006216006216
cumcm-2012-b-b077,B,13,910,1287,0.05804627151777411,0.0,0.11978021978021978,0.12087912087912088,0.08780108780108781,0.05516705516705517
cumcm-2012-b-b077,B,14,910,1287,0.06475355387272486,0.0,0.11978021978021978,0.12087912087912088,0.08469308469308469,0.001554001554001554
cumcm-2012-b-b077,B,15,910,1287,0.05384520488147431,0.0,0.10989010989010989,0.11098901098901098,0.08780108780108781,0.0
cumcm-2012-b-b077,B,16,910,1287,0.06578982330277668,4.46013399381275e-05,0.10989010989010989,0.11098901098901098,0.08391608391608392,0.001554001554001554
cumcm-2012-b-b077,B,17,910,1287,0.03052534684659037,0.0,0.11978021978021978,0.12197802197802197,0.08780108780108781,0.0
cumcm-2012-b-b077,B,18,910,1287,0.044002543225341154,0.0,0.11978021978021978,0.12087912087912088,0.08624708624708624,0.0
cumcm-2012-b-b077,B,19,910,1287,0.10142629391334054,1.613239955208867e-05,0.11978021978021978,0.11428571428571428,0.08624708624708624,0.0777000777000777
cumcm-2012-b-b077,B,20,910,1287,0.05047163544572871,0.0,0.11978021978021978,0.12087912087912088,0.08857808857808858,0.0
cumcm-2012-b-b077,B,21,910,1287,0.04772343373379643,0.0,0.11978021978021978,0.12087912087912088,0.08624708624708624,0.108003108003108
cumcm-2012-b-b077,B,22,910,1287,0.053097420714001024,2.087722294976181e-05,0.16263736263736264,0.24945054945054945,0.08935508935508936,0.005439005439005439
cumcm-2012-b-b077,B,23,910,1287,0.04823397673138606,0.0,0.10989010989010989,0.11098901098901098,0.08702408702408702,0.17249417249417248
cumcm-2012-b-b077,B,24,910,1287,0.021838524170130387,0.0,0.12307692307692308,0.12087912087912088,0.08391608391608392,0.26961926961926963
cumcm-2012-b-b077,B,25,910,1287,0.030046119683425382,0.0,0.10989010989010989,0.11098901098901098,0.10567210567210568,0.0
cumcm-2012-b-b077,B,26,910,1287,0.036814135777866346,0.0,0.10989010989010989,0.11098901098901098,0.08391608391608392,0.0
cumcm-2012-b-b077,B,27,910,1287,0.03315587693826036,0.0,0.10989010989010989,0.11098901098901098,0.08391608391608392,0.0
cumcm-2012-b-b077,B,28,910,1287,0.025758697261287936,0.0,0.10989010989010989,0.11098901098901098,0.08391608391608392,0.0
cumcm-2012-b-b077,B,29,910,1287,0.03598379168327355,0.0,0.10989010989010989,0.11098901098901098,0.08391608391608392,0.0
cumcm-2012-b-b077,B,30,910,1287,0.033845774260282034,0.0,0.10989010989010989,0.11098901098901098,0.08391608391608392,0.0
cumcm-2012-b-b077,B,31,910,1287,0.029639013835905028,0.0,0.10989010989010989,0.11098901098901098,0.08391608391608392,0.0
cumcm-2012-b-b077,B,32,910,1287,0.01927157471198922,0.0,0.10989010989010989,0.11098901098901098,0.08391608391608392,0.03496503496503497
cumcm-2012-b-b077,B,33,910,1287,0.03728482225891552,0.0,0.10989010989010989,0.11098901098901098,0.08391608391608392,0.0
cumcm-2012-b-b077,B,34,910,1287,0.019305737440452466,0.0,0.10989010989010989,0.11098901098901098,0.08391608391608392,0.20357420357420358
cumcm-2013-a-a056,A,1,910,1287,0.05635901231756154,0.0,0.11868131868131868,0.11758241758241758,0.09401709401709402,0.0
cumcm-2013-a-a056,A,2,910,1287,0.02157660991857883,0.0,0.10989010989010989,0.11208791208791209,0.09401709401709402,0.06682206682206682
cumcm-2013-a-a056,A,3,910,1287,0.08626563419309534,0.0,0.14285714285714285,0.14285714285714285,0.09712509712509712,0.10178710178710179
cumcm-2013-a-a056,A,4,910,1287,0.09224316270948395,0.0,0.13186813186813187,0.13296703296703297,0.09634809634809635,0.018648018648018648
cumcm-2013-a-a056,A,5,910,1287,0.3025840308223728,0.0,0.13186813186813187,0.13296703296703297,0.08547008547008547,0.12354312354312354
cumcm-2013-a-a056,A,6,910,1287,0.06470705460342766,0.0,0.14285714285714285,0.14395604395604394,0.09634809634809635,0.017871017871017872
cumcm-2013-a-a056,A,7,910,1287,0.1640256979635218,0.0,0.14285714285714285,0.14395604395604394,0.08857808857808858,0.004662004662004662
cumcm-2013-a-a056,A,8,910,1287,0.09376435309077796,0.0,0.14285714285714285,0.14395604395604394,0.09324009324009325,0.013986013986013986
cumcm-2013-a-a056,A,9,910,1287,0.19014405283835337,0.0,0.14285714285714285,0.14395604395604394,0.08857808857808858,0.013986013986013986
cumcm-2013-a-a056,A,10,910,1287,0.07497295450663326,0.0,0.14285714285714285,0.14395604395604394,0.08780108780108781,0.014763014763014764
cumcm-2013-a-a056,A,11,910,1287,0.043922830192260245,0.11241910076106967,0.13186813186813187,0.13406593406593406,0.09557109557109557,0.017094017094017096
cumcm-2013-a-a056,A,12,910,1287,0.04302700753477955,0.0018647155952855434,0.14285714285714285,0.14395604395604394,0.09712509712509712,0.05283605283605284
cumcm-2013-a-a056,A,13,910,1287,0.06106303023401469,0.004535102203495986,0.14285714285714285,0.14615384615384616,0.09168609168609168,0.108003108003108
cumcm-2013-a-a056,A,14,910,1287,0.0510030556662681,0.002039325096319915,0.14285714285714285,0.14175824175824175,0.10023310023310024,0.004662004662004662
cumcm-2013-a-a056,A,15,910,1287,0.05660953899295868,0.0,0.14285714285714285,0.13846153846153847,0.08780108780108781,0.016317016317016316
cumcm-2013-a-a056,A,16,910,1287,0.12893488204369033,0.008274972005541954,0.14285714285714285,0.14285714285714285,0.08857808857808858,0.009324009324009324
cumcm-2013-a-a056,A,17,910,1287,0.07541042722389872,0.006693996849437264,0.14285714285714285,0.14285714285714285,0.08780108780108781,0.006216006216006216
cumcm-2013-a-a056,A,18,910,1287,0.05608476152517603,0.006381787469870372,0.14285714285714285,0.13736263736263737,0.10644910644910645,0.00777000777000777
cumcm-2013-a-a056,A,19,910,1287,0.0352616295621477,0.0,0.14285714285714285,0.14285714285714285,0.08857808857808858,0.0707070707070707
cumcm-2013-a-a056,A,20,910,1287,0.20610848564216439,0.017160128300024672,0.14395604395604394,0.14505494505494507,0.09945609945609946,0.01554001554001554
cumcm-2013-a-a056,A,21,910,1287,0.05374176773140504,6.54785628878893e-05,0.14285714285714285,0.14175824175824175,0.08780108780108781,0.16083916083916083
cumcm-2013-a-a056,A,22,910,1287,0.1615868587371178,0.0071931522708724785,0.14285714285714285,0.14285714285714285,0.08702408702408702,0.017094017094017096
cumcm-2013-a-a056,A,23,910,1287,0.04079788950255271,0.004134639108732373,0.14285714285714285,0.14395604395604394,0.08780108780108781,0.009324009324009324
cumcm-2013-a-a056,A,24,910,1287,0.08825846002011806,0.02733872345271309,0.14285714285714285,0.14395604395604394,0.08780108780108781,0.009324009324009324
cumcm-2013-a-a056,A,25,910,1287,0.06772286435498871,0.014016208316726451,0.14285714285714285,0.14395604395604394,0.08857808857808858,0.11266511266511267
cumcm-2013-a-a056,A,26,910,1287,0.0663905179449221,0.0010343715006927443,0.14285714285714285,0.14505494505494507,0.09557109557109557,0.024087024087024088
cumcm-2013-a-a056,A,27,910,1287,0.06249312000607338,0.0,0.17802197802197803,0.14175824175824175,0.08780108780108781,0.009324009324009324
cumcm-2013-a-a056,A,28,910,1287,0.05450473533375088,0.002011805120613411,0.14285714285714285,0.14505494505494507,0.08857808857808858,0.010101010101010102
cumcm-2013-a-a056,A,29,910,1287,0.06943859249558731,0.0021883125510068517,0.14285714285714285,0.14395604395604394,0.08780108780108781,0.023310023310023312
cumcm-2013-a-a056,A,30,910,1287,0.05136556017385033,0.0,0.14285714285714285,0.14395604395604394,0.08780108780108781,0.2773892773892774
cumcm-2013-a-a056,A,31,910,1287,0.029114236368122378,0.0,0.13186813186813187,0.13406593406593406,0.10334110334110334,0.011655011655011656
cumcm-2013-a-a056,A,32,910,1287,0.02224468105297121,0.0,0.13186813186813187,0.13406593406593406,0.08547008547008547,0.11810411810411811
cumcm-2013-a-a056,A,33,910,1287,0.03579399874736662,0.0,0.14395604395604394,0.1956043956043956,0.09324009324009325,0.01554001554001554
cumcm-2013-a-a056,A,34,910,1287,0.018686063504716355,0.0,0.14395604395604394,0.16923076923076924,0.09324009324009325,0.01554001554001554
cumcm-2013-a-a056,A,35,910,1287,0.012985632674751845,0.0,0.14285714285714285,0.4087912087912088,0.0947940947940948,0.12742812742812742
cumcm-2013-c-c048,C,1,910,1287,0.05458444836683179,0.0,0.11868131868131868,0.11758241758241758,0.09401709401709402,0.012432012432012432
cumcm-2013-c-c048,C,2,910,1287,0.02017593805158572,0.0,0.10989010989010989,0.11318681318681319,0.09401709401709402,0.08003108003108003
