window_id,method,arrival_start_hour,arrival_end_hour,closeout_hour,task_count,scheduled_count,task_completion_rate,SLA_violation_rate,mean_latency_ms,cost_CNY,carbon_tCO2,renewable_utilization_ratio,peak_facility_load_MW,audit_passed,violations,policy_id,optimizer_runtime_seconds,moved_task_count,moved_region_count,moved_start_count,fallback_triggered,fallback_status,independent_audit_passed,seed
w0000_0024,rolling_shadow_price_exchange::lagrangian_balanced,0,24,30,506,506,1.0,0.0,9.551383399209486,39555596.40431701,37085.587566325434,0.999449176799235,699.15333375,True,[],lagrangian_balanced,0.6029065000038827,174,163,66,False,NOT_RUN,True,20260801
w1176_1224,rolling_shadow_price_exchange::lagrangian_balanced,1176,1224,1230,983,983,1.0,0.0,9.538148524923702,72769204.05834423,65865.21108175044,0.9995510690254569,699.6425,True,[],lagrangian_balanced,2.231975100003183,349,307,164,False,NOT_RUN,True,20260801
w2328_2400,rolling_shadow_price_exchange::lagrangian_balanced,2328,2400,2406,1577,1577,1.0,0.0,9.032974001268231,105369653.38191572,93919.75130754279,0.9985283574592612,698.8041662500001,True,[],lagrangian_balanced,4.446920300004422,512,445,212,False,NOT_RUN,True,20260801
