method,horizon_h,region,status,solver_success,runtime_s,mip_gap,cost_CNY,carbon_tCO2,peak_net_import_MW,load_std_MW,renewable_utilization_ratio,curtailment_MWh,terminal_SOC_MWh,initial_SOC_MWh,grid_import_peak_margin_MW,max_charge_MW,max_discharge_MW,audit_passed
sequential_Q2_then_Q3_no_storage,24,RegionA,deterministic baseline,True,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5718789842,8219.9235031500,157.5000000000,157.5000000000,550.0000000000,0.0000000000,0.0000000000,True
sequential_Q2_then_Q3_no_storage,24,RegionB,deterministic baseline,True,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5697645467,8260.5207031500,144.0000000000,144.0000000000,520.0000000000,0.0000000000,0.0000000000,True
sequential_Q2_then_Q3_no_storage,24,RegionC,deterministic baseline,True,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5731401625,8195.7088790800,135.0000000000,135.0000000000,510.0000000000,0.0000000000,0.0000000000,True
sequential_Q2_then_Q3_no_storage,24,RegionD,deterministic baseline,True,0.0000000000,0.0000000000,-1358909.3144858624,0.0000000000,-96.8492000000,26.6777545427,0.7674121832,4465.6860825600,405.0000000000,405.0000000000,510.0000000000,0.0000000000,0.0000000000,True
sequential_Q2_then_Q3_no_storage,24,RegionE,deterministic baseline,True,0.0000000000,0.0000000000,-1417510.2676176755,0.0000000000,-90.6325004167,43.8867285446,0.8013235025,3814.5887512500,370.0000000000,370.0000000000,370.0000000000,0.0000000000,0.0000000000,True
sequential_Q2_then_Q3_no_storage,24,RegionF,deterministic baseline,True,0.0000000000,0.0000000000,-1486195.8316163335,0.0000000000,-61.4381000000,44.0628010225,0.8019503974,3802.5523695767,382.5000000000,382.5000000000,340.0000000000,0.0000000000,0.0000000000,True
