method,horizon_h,region,status,solver_success,runtime_s,mip_gap,cost_CNY,carbon_tCO2,peak_net_import_MW,load_std_MW,renewable_utilization_ratio,curtailment_MWh,terminal_SOC_MWh,initial_SOC_MWh,grid_import_peak_margin_MW,max_charge_MW,max_discharge_MW,audit_passed
region_decomposed_MILP_envelope,24,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,0.0140081000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5728696316,8200.9030730425,157.5000000000,157.5000000000,550.0000000000,100.0000000000,100.0000000000,True
region_decomposed_MILP_envelope,24,RegionB,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,0.0086839000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5706702815,8243.1305956231,144.0000000000,144.0000000000,520.0000000000,76.3700004500,90.0000000000,True
region_decomposed_MILP_envelope,24,RegionC,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,0.0082634000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5739892889,8179.4056532735,135.0000000000,135.0000000000,510.0000000000,85.0000000000,85.0000000000,True
region_decomposed_MILP_envelope,24,RegionD,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,0.0088941000,0.0000000000,-1436183.9999999998,0.0000000000,-180.0000000000,0.0000000000,0.7865478891,4098.2805292011,405.0000000000,405.0000000000,510.0000000000,207.0752000000,153.5911995733,True
region_decomposed_MILP_envelope,24,RegionE,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,0.0091255000,0.0000000000,-1530838.7720802752,0.0000000000,-114.2000004167,21.1416238820,0.8301727957,3260.6823220385,370.0000000000,370.0000000000,370.0000000000,240.0000000000,129.3674995833,True
region_decomposed_MILP_envelope,24,RegionF,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,0.0146559000,0.0000000000,-1612451.5477600002,0.0000000000,-119.3242000000,20.1176739698,0.8318334929,3228.7969370059,382.5000000000,382.5000000000,340.0000000000,250.0000000000,101.2702000000,True
