x,y
0.0,0.7329745237473965
1.0,0.7436490846461057
2.0,0.7540971228297414
3.0,0.7643154557246601
4.0,0.7743009707276753
5.0,0.7840506261541846
6.0,0.7935614521646986
7.0,0.8028305516694808
8.0,0.8118551012110303
9.0,0.8206323518241337
10.0,0.8291596298732276
11.0,0.8374343378668127
12.0,0.8454539552486745
13.0,0.8532160391656713
14.0,0.8607182252118489
15.0,0.8679582281486624
16.0,0.8749338426010814
17.0,0.88164294372937
18.0,0.8880834878763313
19.0,0.8942535131898279
20.0,0.9001511402203785
21.0,0.9057745724936579
22.0,0.9111220970577206
23.0,0.9161920850047814
24.0,0.9209829919673979
25.0,0.9254933585888986
26.0,0.9297218109679172
27.0,0.933667061076898
28.0,0.9373279071544388
29.0,0.9407032340713607
30.0,0.943792013670388
31.0,0.9465933050793328
32.0,0.949106254997695
33.0,0.9513300979565861
34.0,0.9532641565518981
35.0,0.9549078416506472
36.0,0.9562606525704296
37.0,0.957322177231934
38.0,0.9580920922844655
39.0,0.9585701632044404
40.0,0.9587562443668256
41.0,0.9586502790894967
42.0,0.9582522996505031
43.0,0.9575624272782374
44.0,0.9565808721145074
45.0,0.9553079331505242
46.0,0.9537439981358277
47.0,0.9518895434601736
48.0,0.9497451340084201
49.0,0.9473114229884602
50.0,0.9445891517322463
51.0,0.9415791494699738
52.0,0.9382823330774911
53.0,0.9346997067970076
54.0,0.9308323619311945
55.0,0.9266814765107617
56.0,0.9222483149356183
57.0,0.9175342275897259
58.0,0.9125406504297559
59.0,0.9072691045476852
60.0,0.9017211957074563
61.0,0.8958986138558452
62.0,0.8898031326076893
63.0,0.8834366087056241
64.0,0.8768009814545047
65.0,0.8698982721306726
66.0,0.8627305833662556
67.0,0.8553000985086866
68.0,0.8476090809556335
69.0,0.8396598734655477
70.0,0.8314548974440368
71.0,0.8229966522062798
72.0,0.8142877142157131
73.0,0.8053307362992143
74.0,0.7961284468390245
75.0,0.7866836489416582
76.0,0.7769992195840487
77.0,0.7670781087371935
78.0,0.7569233384675643
79.0,0.746538002016557
80.0,0.7359252628582594
81.0,0.7250883537358269
82.0,0.714030575676758
83.0,0.7027552969873684
84.0,0.6912659522267731
85.0,0.6795660411606859
86.0,0.667659127695357
87.0,0.655548838791973
88.0,0.6432388633618488
89.0,0.6307329511427495
90.0,0.618034911556685
