method,cost_CNY,carbon_tCO2,mean_latency_ms,p95_latency_ms,renewable_utilization_ratio,task_completion_rate,SLA_violation_rate,peak_facility_load_MW,hard_audit_passed
fifo,3359955010.883479,2893907.676691789,5.06846,5.0,0.9999944220444682,1.0,0.0,708.3490137599999,True
current,3325853571.1277695,2838075.5957927215,9.25822,25.0,0.9992043662036217,1.0,0.0,700.0,True
latency_guarded,3325932164.043739,2838204.340764836,9.25428,25.0,0.9991992829078727,1.0,0.0,700.0,True
candidate,3320116545.237194,2888679.130808914,5.9375,14.0,0.999746873556024,1.0,0.0,842.1235200000001,True
