method,horizon_h,region,status,solver_success,runtime_s,mip_gap,cost_CNY,carbon_tCO2,peak_net_import_MW,load_std_MW,renewable_utilization_ratio,curtailment_MWh,terminal_SOC_MWh,initial_SOC_MWh,grid_import_peak_margin_MW,max_charge_MW,max_discharge_MW
deterministic_carbon_aware_MILP,24,RegionA,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,0.0190986000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5728696318,8200.9030698925,157.5000000000,157.5000000000,550.0000000000,100.0000000000,100.0000000000
deterministic_carbon_aware_MILP,24,RegionB,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,0.0096759000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5706702816,8243.1305924731,144.0000000000,144.0000000000,520.0000000000,76.3700000000,90.0000000000
deterministic_carbon_aware_MILP,24,RegionC,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,0.0112518000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.5739892878,8179.4056741935,135.0000000000,135.0000000000,510.0000000000,85.0000000000,85.0000000000
deterministic_carbon_aware_MILP,24,RegionD,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,0.0080846000,0.0000000000,-1436183.9999999998,0.0000000000,-180.0000000000,0.0000000000,0.7865478881,4098.2805480439,405.0000000000,405.0000000000,510.0000000000,207.0752000000,153.5912000000
deterministic_carbon_aware_MILP,24,RegionE,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,0.0114589000,0.0000000000,-1530838.7720000001,0.0000000000,-114.2000000000,21.1416239653,0.8301727932,3260.6823712652,370.0000000000,370.0000000000,370.0000000000,240.0000000000,129.3675000000
deterministic_carbon_aware_MILP,24,RegionF,Optimization terminated successfully. (HiGHS Status 7: Optimal),True,0.0110558000,0.0000000000,-1612451.5477600002,0.0000000000,-119.3242000000,20.1176739698,0.8318334913,3228.7969664608,382.5000000000,382.5000000000,340.0000000000,250.0000000000,101.2702000000
